"FISCAL YEAR","COUNTY NUMBER","County","PUBLIC SAFETY AND LEGAL SERVICES","PHYSICAL HEALTH SOCIAL SERVICES","MENTAL HEALTH, ID & DD","COUNTY ENVIRONMENT AND EDUCATION","ROADS & TRANSPORTATION","GOVERNMENT SERVICES TO RESIDENTS","ADMINISTRATION","NONPROGRAM CURRENT","DEBT SERVICE","CAPITAL PROJECTS","SUBTOTAL EXPENDITURES","OPERATING TRANSFERS OUT","REFUNDED DEBT/PAYMENTS TO ESCROW","TOTAL EXPENDITURES & OTHER USES","Primary County Coordinates"
"2016","52","JOHNSON","21,051,755","8,989,749","7,682,891","3,997,454","9,045,524","2,157,151","7,678,622","2,975","14,456,495","11,275,840","86,338,456","20,991,020","0","107,329,476",
"2019","2","ADAMS","1,465,438","198,489","178,812","866,183","3,531,709","329,668","775,832","0","872,527","616,940","8,835,598","1,099,211","0","9,934,809",
"2010","70","MUSCATINE","7,256,021","1,406,345","4,746,636","1,836,605","6,508,691","787,313","2,570,257","83,815","3,835,638","4,050,744","33,082,065","2,653,041","0","35,735,106",
"2023","36","FREMONT","3,426,503","213,586","0","591,689","5,494,502","446,933","2,259,988","0","685,203","4,106","13,122,510","1,469,730","0","14,592,240",
"2020","47","IDA","965,512","213,948","211,099","812,152","3,112,578","307,990","906,680","0","536,277","12,643,611","19,709,847","1,797,896","0","21,507,743",
"2018","18","CHEROKEE","2,328,567","347,144","460,845","999,762","4,303,231","507,489","1,364,704","105,152","0","946,579","11,363,473","2,000,000","0","13,363,473",
"2023","51","JEFFERSON","4,435,728","869,866","0","817,833","5,160,000","650,199","2,302,305","0","853,139","1,118,969","16,208,039","1,136,574","0","17,344,613",
"2024","26","DAVIS","1,966,349","361,283","0","511,116","5,581,523","527,032","1,902,888","49,449","489,205","743,879","12,132,724","1,294,380","0","13,427,104",
"2016","36","FREMONT","2,419,786","156,737","367,653","622,920","4,396,980","397,805","1,158,370","15,000","464,049","785,564","10,784,864","1,239,389","0","12,024,253",
"2020","35","FRANKLIN","1,845,518","1,503,347","391,060","899,968","6,724,167","499,491","1,963,118","0","2,180,485","2,766,720","18,773,874","3,652,429","0","22,426,303",
"2024","84","SIOUX","6,306,246","1,025,677","0","2,575,539","10,403,077","1,333,273","3,579,221","64,447","930,590","6,805,273","33,023,343","4,078,554","0","37,101,897",
"2013","69","MONTGOMERY","1,823,038","476,235","573,522","306,911","3,637,017","459,788","940,179","0","413,436","1,023,885","9,654,011","1,075,717","0","10,729,728",
"2023","83","SHELBY","3,312,459","755,031","0","555,911","7,163,425","459,451","1,665,604","868,525","337,300","2,357,631","17,475,337","5,042,671","0","22,518,008",
"2011","40","HAMILTON","2,378,509","1,895,781","2,083,245","1,237,997","4,376,922","406,206","1,167,211","0","2,504,341","853,818","16,904,030","2,387,031","0","19,291,061",
