"FISCAL YEAR","COUNTY NUMBER","COUNTY NAME","TAXES LEVIED ON PROPERTY","LESS: UNCOLLECTED DELINQUENT TAXES - LEVY YEAR","LESS: CREDITS TO TAXPAYERS","NET CURRENT PROPERTY TAXES","DELINQUENT PROPERTY TAX REVENUE","PENALTIES, INTEREST & COSTS ON TAXES","OTHER COUNTY TAXES/TIF TAX REVENUES","INTERGOVERNMENTAL","LICENSES & PERMITS","CHARGES FOR SERVICE","USE OF MONEY & PROPERTY","MISCELLANEOUS","SUBTOTAL REVENUES","GENERAL LONG-TERM DEBT PROCEEDS","OPERATING TRANSFERS IN","PROCEEDS OF CAPITAL ASSET SALES","TOTAL REVENUES & OTHER SOURCES","LOCATION"
"2019","68","Monroe","3,126,452","0","0","3,126,452","0","0","0","0","0","0","0","0","3,126,452","0","0","0","3,126,452",
"2016","52","JOHNSON","51,094,416","0","1,717,674","49,376,742","-17,975","586,851","1,007,617","20,548,008","743,900","4,336,759","352,954","1,528,439","78,463,295","13,940,000","20,991,020","18,335","113,412,650",
"2019","2","Adams","3,654,756","0","234,798","3,419,958","177","20,545","791,814","3,498,939","7,185","505,049","76,780","65,885","8,386,332","1,099,211","0","244,044","9,729,587",
"2010","70","MUSCATINE","13,307,255","63,901","413,954","12,829,400","6,714","143,331","4,439,469","9,450,456","53,928","939,918","323,658","197,245","28,384,119","9,112,181","2,653,041","8,115","40,157,456",
"2023","36","FREMONT","5,897,482","0","283,652","5,613,830","4,380","42,486","751,139","6,103,986","23,568","438,998","304,861","215,773","13,499,021","91,648","1,469,730","327,695","15,388,094",
"2020","47","Ida","2,796,514","0","176,108","2,620,406","334","7,080","1,396,324","3,382,403","59,080","276,687","219,939","174,990","8,137,243","0","1,797,896","0","9,935,139",
"2018","18","Cherokee","5,893,273","677","317,080","5,575,516","1,018","29,001","922,624","4,572,253","85,602","415,711","115,821","266,735","11,984,281","0","2,000,000","2,491","13,986,772",
"2023","51","JEFFERSON","7,427,513","6,843","368,094","7,052,576","-9,326","60,997","970,568","6,493,729","24,300","473,278","59,756","245,016","15,370,894","0","1,136,574","7,500","16,514,968",
"2024","26","DAVIS","5,034,438","0","0","5,034,438","355","42,274","1,401,690","4,161,517","24,185","237,426","312,274","1,700,217","12,914,376","0","1,294,380","0","14,208,756",
"2016","36","FREMONT","4,822,838","24,693","367,739","4,430,406","1,152","30,255","940,841","4,075,430","15,190","314,147","87,382","174,838","10,069,641","83,073","1,239,389","48,032","11,440,135",
"2020","35","Franklin","7,162,528","1,000","496,523","6,665,005","268","15,524","3,493,889","6,921,800","37,474","549,256","137,227","99,442","17,919,885","3,862,788","3,652,429","62,534","25,497,636",
"2024","84","SIOUX","11,181,961","468","436,390","10,745,103","342","71,719","2,566,379","9,773,296","119,190","1,297,688","1,758,785","1,714,007","28,046,509","1,000","4,078,554","163,791","32,289,854",
"2013","69","MONTGOMERY","5,146,996","0","278,730","4,868,266","1,776","47,917","612,510","3,285,874","5,505","306,098","60,073","153,912","9,341,931","0","1,075,717","0","10,417,648",
"2023","83","SHELBY","7,485,225","0","408,659","7,076,566","24","28,730","1,026,665","5,311,974","34,872","393,000","161,877","637,228","14,670,936","0","5,042,671","0","19,713,607",
"2011","40","HAMILTON","6,728,359","0","244,545","6,483,814","484","40,098","1,086,279","5,854,856","14,636","1,140,061","109,864","1,923,685","16,653,777","0","2,387,031","28,562","19,069,370",
"2022","3","ALLAMAKEE","8,009,676","1,166","457,949","7,550,561","861","44,592","1,330,102","6,721,552","35,210","417,498","134,576","174,356","16,409,308","3,134","2,013,896","0","18,426,338",
"2021","80","Ringgold","3,593,103","0","179,427","3,413,676","27,883","39,509","507,283","5,161,261","2,500","559,130","49,129","285,851","10,046,222","0","857,380","1","10,903,603",
"2017","68","MONROE","4,850,577","0","273,037","4,577,540","2,475","41,217","553,244","3,635,875","4,140","238,148","85,406","41,979","9,180,024","0","1,331,338","4,427","10,515,789",
"2011","3","ALLAMAKEE","4,944,541","0","202,608","4,741,933","2,900","66,722","919,711","4,594,011","11,220","371,013","259,444","146,180","11,113,134","0","1,343,661","6,280","12,463,075",
"2024","69","MONTGOMERY","6,983,618","0","233,412","6,750,206","666","59,780","776,571","5,034,639","26,400","302,288","150,302","429,019","13,529,871","450,000","1,080,000","0","15,059,871",
"2014","84","SIOUX","8,390,940","2,456","428,142","7,960,342","894","60,925","1,865,089","9,337,594","16,090","847,687","152,526","822,618","21,063,765","0","2,777,253","1,239","23,842,257",
"2021","17","Cerro Gordo","19,295,794","19,594","958,533","18,317,667","88,917","241,408","3,459,856","15,778,227","190,770","1,550,571","263,503","1,592,064","41,482,983","4,537,000","8,563,562","408,313","54,991,858",
"2013","51","JEFFERSON","5,567,904","3,469","243,508","5,320,927","4,671","76,040","711,055","3,035,134","69,131","727,795","36,173","181,702","10,162,628","0","1,091,893","0","11,254,521",
"2022","50","JASPER","16,504,441","213,836","651,527","15,639,078","1,325","80,342","2,859,761","12,780,783","265,401","1,454,685","291,451","671,321","34,044,147","0","8,313,335","0","42,357,482",
"2018","55","Kossuth","8,861,879","23","504,491","8,357,365","758","41,122","1,556,226","7,386,480","26,935","696,209","181,135","5,795,335","24,041,565","2,332,869","2,863,123","74,430","29,311,987",
"2019","19","Chickasaw","6,050,481","1,691","379,457","5,669,333","798","28,906","947,992","5,413,642","25,365","996,217","178,172","677,986","13,938,411","1,720,000","0","6,973","15,665,384",
"2013","37","GREENE","5,118,540","0","269,015","4,849,525","150","22,691","505,158","3,290,921","56,174","346,021","52,362","308,700","9,431,702","0","1,456,128","0","10,887,830",
"2016","35","FRANKLIN","6,641,628","1,250","497,935","6,142,443","590","38,431","2,475,094","7,035,440","26,306","598,271","273,124","87,139","16,676,838","0","2,000,182","4,700","18,681,720",
"2020","42","Hardin","8,671,795","64,433","502,590","8,104,772","1,207","21,229","1,142,550","6,886,030","28,243","596,312","302,563","1,645,127","18,728,033","0","2,087,797","0","20,815,830",
"2012","52","JOHNSON","42,762,342","0","664,964","42,097,378","8,194","422,944","964,352","24,062,900","568,908","3,945,090","281,374","2,148,484","74,499,624","0","24,996,113","17,659","99,513,396",
"2019","3","Allamakee","7,661,566","1,857","443,690","7,216,019","889","52,020","1,053,046","5,791,387","24,298","403,809","209,768","168,016","14,919,252","1,915,460","7,217","0","16,841,929",
"2023","29","DES MOINES","14,234,363","5,384","873,074","13,355,905","-18,414","103,804","3,123,353","5,767,920","71,458","960,375","772,677","771,208","24,908,286","3,335,562","3,030,673","78,175","31,352,696",
"2015","24","CRAWFORD","8,065,516","4,520","374,726","7,686,270","307","48,695","790,059","5,971,410","5,053","762,573","126,347","473,682","15,864,396","0","2,871,061","126,345","18,861,802",
"2020","94","Webster","14,442,864","0","0","14,442,864","1,160","53,361","3,074,350","12,670,788","64,400","1,079,565","481,549","383,180","32,251,217","9,753,345","6,064,127","38,988","48,107,677",
"2019","72","Osceola","4,467,658","0","275,742","4,191,916","590","22,132","818,924","3,581,037","63,565","362,063","224,699","101,940","9,366,866","1,891,923","0","25,265","11,284,054",
"2014","73","PAGE","4,566,266","11,873","275,423","4,278,970","4,125","56,748","597,672","4,051,868","16,921","375,526","61,303","256,464","9,699,597","0","1,180,242","0","10,879,839",
"2012","37","GREENE","4,675,671","929","204,549","4,470,193","75","24,064","526,057","3,821,947","52,642","403,257","39,497","338,230","9,675,962","0","1,196,080","0","10,872,042",
"2019","51","Jefferson","6,726,735","5,505","379,444","6,341,786","1,400","61,938","756,387","4,171,239","34,436","903,134","98,357","88,972","12,457,649","1,000,000","0","0","13,457,649",
"2010","1","ADAIR","3,035,786","8,797","157,133","2,869,856","802","36,663","618,462","3,421,425","12,481","199,828","119,108","62,569","7,341,194","0","1,049,063","500","8,390,757",
"2021","91","Warren","17,808,001","0","0","17,808,001","94,302","162,498","3,525,863","9,305,144","156,115","1,659,204","314,173","372,323","33,397,623","0","3,743,566","77,895","37,219,084",
"2017","85","STORY","23,608,450","86,328","1,028,213","22,493,909","3,421","105,109","3,679,694","8,621,983","86,643","1,834,690","2,117,330","913,375","39,856,154","1,537,300","2,945,822","909,880","45,249,156",
