"FIPS","County","Year","Population","Primary Point"
"19169","Story County","July 01, 2011","91,136","POINT (-93.4650448 42.0362415)"
"19065","Fayette County","July 01, 1995","22,129","POINT (-91.8443207 42.8625919)"
"19089","Howard County","July 01, 2002","9,794","POINT (-92.3171989 43.3567673)"
"19007","Appanoose County","July 01, 1999","13,761","POINT (-92.8686104 40.7431635)"
"19043","Clayton County","July 01, 2012","17,946","POINT (-91.3414328 42.8447493)"
"19103","Johnson County","July 01, 2021","155,047","POINT (-91.5880849 41.6715511)"
"19133","Monona County","July 01, 1992","9,978","POINT (-95.9599235 42.0516663)"
"19167","Sioux County","July 01, 1995","31,352","POINT (-96.1778827 43.0826174)"
"19103","Johnson County","July 01, 2006","123,171","POINT (-91.5880849 41.6715511)"
"19101","Jefferson County","July 01, 2018","18,256","POINT (-91.9488774 41.0317596)"
"19113","Linn County","July 01, 2016","222,188","POINT (-91.5989646 42.0789478)"
"19159","Ringgold County","July 01, 1996","5,382","POINT (-94.2439719 40.7352023)"
"19151","Pocahontas County","July 01, 1991","9,493","POINT (-94.6787466 42.7341351)"
"19153","Polk County","July 01, 2014","460,898","POINT (-93.5735335 41.6855048)"
"19081","Hancock County","July 01, 1999","12,085","POINT (-93.7342723 43.0818861)"
"19187","Webster County","July 01, 2009","38,346","POINT (-94.1817881 42.4279662)"
"19133","Monona County","July 01, 2007","9,123","POINT (-95.9599235 42.0516663)"
"19171","Tama County","July 01, 2008","17,549","POINT (-92.5325425 42.0798117)"
"19031","Cedar County","July 01, 2011","18,358","POINT (-91.1324125 41.7723207)"
"19141","O'Brien County","July 01, 2001","14,881","POINT (-95.6248784 43.0837527)"
"19063","Emmet County","July 01, 1999","11,247","POINT (-94.6784803 43.3780225)"
"19077","Guthrie County","July 01, 2016","10,642","POINT (-94.501055 41.6837548)"
"19103","Johnson County","July 01, 1994","100,939","POINT (-91.5880849 41.6715511)"
"19147","Palo Alto County","July 01, 1999","10,245","POINT (-94.6781371 43.0820643)"
"19037","Chickasaw County","July 01, 1995","13,287","POINT (-92.3176637 43.0600414)"
"19143","Osceola County","July 01, 2017","6,021","POINT (-95.6236852 43.3785704)"
"19137","Montgomery County","July 01, 1999","11,890","POINT (-95.1563758 41.03014)"
"19013","Black Hawk County","July 01, 2008","128,040","POINT (-92.3088197 42.4700957)"
"19037","Chickasaw County","July 01, 2019","11,933","POINT (-92.3176637 43.0600414)"
"19183","Washington County","July 01, 1993","20,072","POINT (-91.7178676 41.335591)"
"19119","Lyon County","April 01, 2000","11,763","POINT (-96.2102924 43.380497)"
"19117","Lucas County","July 01, 1998","9,395","POINT (-93.3277207 41.0293738)"
"19037","Chickasaw County","July 01, 2013","12,274","POINT (-92.3176637 43.0600414)"
"19059","Dickinson County","July 01, 2013","16,878","POINT (-95.1508301 43.3779848)"
"19167","Sioux County","July 01, 2021","35,979","POINT (-96.1778827 43.0826174)"
"19157","Poweshiek County","July 01, 2024","18,454","POINT (-92.5314684 41.6864422)"
"19077","Guthrie County","April 01, 1990","10,935","POINT (-94.501055 41.6837548)"
"19129","Mills County","July 01, 2013","14,905","POINT (-95.6213267 41.0334523)"
"19011","Benton County","July 01, 1991","22,425","POINT (-92.0656912 42.0801864)"
"19119","Lyon County","July 01, 2013","11,695","POINT (-96.2102924 43.380497)"
"19077","Guthrie County","July 01, 2021","10,598","POINT (-94.501055 41.6837548)"
"19061","Dubuque County","July 01, 2011","94,593","POINT (-90.8824564 42.468832)"
"19105","Jones County","July 01, 2011","20,743","POINT (-91.1314352 42.1212397)"
"19145","Page County","July 01, 2004","16,001","POINT (-95.1501747 40.7391444)"
"19103","Johnson County","April 01, 2010","130,882","POINT (-91.5880849 41.6715511)"
"19163","Scott County","July 01, 2003","158,808","POINT (-90.6232428 41.6370978)"
"19013","Black Hawk County","July 01, 2018","131,723","POINT (-92.3088197 42.4700957)"
"19185","Wayne County","April 01, 2010","6,403","POINT (-93.3273639 40.7394702)"
"19177","Van Buren County","July 01, 1997","7,669","POINT (-91.9499871 40.7532294)"
"19067","Floyd County","April 01, 2020","15,627","POINT (-92.7890033 43.0599208)"
"19031","Cedar County","April 01, 2010","18,499","POINT (-91.1324125 41.7723207)"
"19171","Tama County","July 01, 2012","17,501","POINT (-92.5325425 42.0798117)"
"19047","Crawford County","July 01, 2009","16,416","POINT (-95.3819678 42.0372125)"
"19155","Pottawattamie County","July 01, 2009","90,224","POINT (-95.5423935 41.3366123)"
"19111","Lee County","July 01, 1995","38,965","POINT (-91.479264 40.6419764)"
"19035","Cherokee County","July 01, 1997","13,450","POINT (-95.6238055 42.7356226)"
"19173","Taylor County","July 01, 1999","7,029","POINT (-94.6964148 40.7374324)"
"19137","Montgomery County","April 01, 2020","10,330","POINT (-95.1563758 41.03014)"
"19197","Wright County","July 01, 2022","12,740","POINT (-93.7351465 42.7331189)"
"19073","Greene County","July 01, 2014","9,124","POINT (-94.3968356 42.0362394)"
"19011","Benton County","July 01, 2019","25,645","POINT (-92.0656912 42.0801864)"
"19123","Mahaska County","July 01, 2007","22,092","POINT (-92.6409094 41.3352035)"
"19085","Harrison County","July 01, 1996","15,231","POINT (-95.8169209 41.6828528)"
"19091","Humboldt County","July 01, 1999","10,462","POINT (-94.2071868 42.7764686)"
"19101","Jefferson County","July 01, 2019","18,295","POINT (-91.9488774 41.0317596)"
"19033","Cerro Gordo County","July 01, 2003","45,142","POINT (-93.2608184 43.0815577)"
"19063","Emmet County","July 01, 1998","11,303","POINT (-94.6784803 43.3780225)"
"19103","Johnson County","July 01, 2001","113,878","POINT (-91.5880849 41.6715511)"
"19025","Calhoun County","July 01, 1999","11,296","POINT (-94.6404136 42.3851848)"
"19175","Union County","July 01, 2014","12,627","POINT (-94.2423792 41.0277304)"
"19063","Emmet County","April 01, 2020","9,388","POINT (-94.6784803 43.3780225)"
"19189","Winnebago County","July 01, 2009","10,602","POINT (-93.7341955 43.3775678)"
"19089","Howard County","July 01, 2003","9,713","POINT (-92.3171989 43.3567673)"
"19185","Wayne County","April 01, 1990","7,067","POINT (-93.3273639 40.7394702)"
"19131","Mitchell County","July 01, 2005","10,784","POINT (-92.7890315 43.3564124)"
"19031","Cedar County","July 01, 2018","18,564","POINT (-91.1324125 41.7723207)"
"19043","Clayton County","July 01, 2016","17,661","POINT (-91.3414328 42.8447493)"
"19051","Davis County","July 01, 2008","8,573","POINT (-92.4097173 40.7476891)"
"19185","Wayne County","April 01, 2000","6,730","POINT (-93.3273639 40.7394702)"
"19049","Dallas County","July 01, 2015","80,631","POINT (-94.0397374 41.6848862)"
"19103","Johnson County","July 01, 2014","142,730","POINT (-91.5880849 41.6715511)"
"19011","Benton County","July 01, 2015","25,608","POINT (-92.0656912 42.0801864)"
"19109","Kossuth County","July 01, 1993","18,098","POINT (-94.2067199 43.20413)"
"19097","Jackson County","July 01, 1992","19,912","POINT (-90.5742294 42.1717426)"
"19005","Allamakee County","April 01, 2010","14,330","POINT (-91.3780923 43.2842838)"
"19047","Crawford County","July 01, 1998","16,864","POINT (-95.3819678 42.0372125)"
"19169","Story County","July 01, 2015","96,636","POINT (-93.4650448 42.0362415)"
"19167","Sioux County","April 01, 2020","35,872","POINT (-96.1778827 43.0826174)"
"19023","Butler County","July 01, 2004","14,782","POINT (-92.7901934 42.7315661)"
"19139","Muscatine County","July 01, 2015","43,068","POINT (-91.1127562 41.4839221)"
"19095","Iowa County","July 01, 1991","14,618","POINT (-92.065524 41.6863229)"
"19001","Adair County","April 01, 1990","8,409","POINT (-94.4709413 41.3307464)"
"19117","Lucas County","July 01, 2009","9,179","POINT (-93.3277207 41.0293738)"
"19109","Kossuth County","July 01, 2013","15,332","POINT (-94.2067199 43.20413)"
"19077","Guthrie County","July 01, 2007","11,051","POINT (-94.501055 41.6837548)"
"19055","Delaware County","July 01, 2005","17,619","POINT (-91.3673502 42.471211)"
"19067","Floyd County","July 01, 1996","17,001","POINT (-92.7890033 43.0599208)"
"19181","Warren County","July 01, 2008","44,793","POINT (-93.5613594 41.3343735)"
"19129","Mills County","July 01, 2005","14,846","POINT (-95.6213267 41.0334523)"
"19195","Worth County","July 01, 2006","7,618","POINT (-93.2608476 43.3773984)"
"19195","Worth County","April 01, 2000","7,909","POINT (-93.2608476 43.3773984)"
"19009","Audubon County","July 01, 1998","6,916","POINT (-94.9058222 41.6845893)"
"19155","Pottawattamie County","July 01, 1999","86,609","POINT (-95.5423935 41.3366123)"
"19007","Appanoose County","July 01, 2013","12,654","POINT (-92.8686104 40.7431635)"
"19155","Pottawattamie County","July 01, 2004","88,781","POINT (-95.5423935 41.3366123)"
"19111","Lee County","April 01, 2000","38,052","POINT (-91.479264 40.6419764)"
"19009","Audubon County","July 01, 2023","5,533","POINT (-94.9058222 41.6845893)"
"19169","Story County","July 01, 1996","76,265","POINT (-93.4650448 42.0362415)"
"19049","Dallas County","July 01, 1991","29,904","POINT (-94.0397374 41.6848862)"
"19035","Cherokee County","July 01, 2002","12,530","POINT (-95.6238055 42.7356226)"
"19145","Page County","July 01, 2012","15,702","POINT (-95.1501747 40.7391444)"
"19173","Taylor County","July 01, 2013","6,233","POINT (-94.6964148 40.7374324)"
"19185","Wayne County","July 01, 2005","6,422","POINT (-93.3273639 40.7394702)"
"19121","Madison County","April 01, 1990","12,483","POINT (-94.0155619 41.3307142)"
"19195","Worth County","April 01, 2010","7,598","POINT (-93.2608476 43.3773984)"
"19175","Union County","April 01, 2000","12,309","POINT (-94.2423792 41.0277304)"
"19035","Cherokee County","July 01, 2023","11,652","POINT (-95.6238055 42.7356226)"
"19041","Clay County","July 01, 1998","17,662","POINT (-95.1509194 43.0825804)"
"19097","Jackson County","July 01, 2007","19,906","POINT (-90.5742294 42.1717426)"
"19017","Bremer County","April 01, 2000","23,325","POINT (-92.3180548 42.7745873)"
"19121","Madison County","July 01, 2001","14,148","POINT (-94.0155619 41.3307142)"
"19053","Decatur County","July 01, 1993","8,219","POINT (-93.7862815 40.7376827)"
"19115","Louisa County","July 01, 2008","11,694","POINT (-91.2596184 41.2185073)"
"19065","Fayette County","July 01, 2013","20,519","POINT (-91.8443207 42.8625919)"
"19075","Grundy County","July 01, 2015","12,405","POINT (-92.7914177 42.4018651)"
"19059","Dickinson County","July 01, 1992","15,196","POINT (-95.1508301 43.3779848)"
"19013","Black Hawk County","July 01, 2021","130,587","POINT (-92.3088197 42.4700957)"
"19077","Guthrie County","July 01, 1992","11,101","POINT (-94.501055 41.6837548)"
"19007","Appanoose County","July 01, 2022","12,135","POINT (-92.8686104 40.7431635)"
"19193","Woodbury County","July 01, 1994","101,640","POINT (-96.0447673 42.3897169)"
"19101","Jefferson County","July 01, 1995","16,563","POINT (-91.9488774 41.0317596)"
"19065","Fayette County","July 01, 2012","20,774","POINT (-91.8443207 42.8625919)"
"19077","Guthrie County","July 01, 2011","10,859","POINT (-94.501055 41.6837548)"
"19139","Muscatine County","July 01, 2019","42,664","POINT (-91.1127562 41.4839221)"
"19159","Ringgold County","July 01, 2006","5,101","POINT (-94.2439719 40.7352023)"
"19141","O'Brien County","July 01, 1996","15,647","POINT (-95.6248784 43.0837527)"
"19011","Benton County","July 01, 2005","26,643","POINT (-92.0656912 42.0801864)"
"19051","Davis County","July 01, 2011","8,771","POINT (-92.4097173 40.7476891)"
"19101","Jefferson County","July 01, 2024","15,781","POINT (-91.9488774 41.0317596)"
"19069","Franklin County","July 01, 1993","11,179","POINT (-93.262473 42.7325458)"
