"Row ID","Geography ID","Name","Variable Code","Variable","Value","Variable Unit","Date","Location"
"19001_1997_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$176,229","Thousands of dollars","12/31/1997","POINT (-94.478164 41.328528)"
"19001_1997_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$21,207","Dollars","12/31/1997","POINT (-94.478164 41.328528)"
"19001_1998_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$183,755","Thousands of dollars","12/31/1998","POINT (-94.478164 41.328528)"
"19001_1998_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$22,126","Dollars","12/31/1998","POINT (-94.478164 41.328528)"
"19001_1999_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$188,850","Thousands of dollars","12/31/1999","POINT (-94.478164 41.328528)"
"19001_1999_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$22,758","Dollars","12/31/1999","POINT (-94.478164 41.328528)"
"19001_2000_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$210,176","Thousands of dollars","12/31/2000","POINT (-94.478164 41.328528)"
"19001_2000_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$25,560","Dollars","12/31/2000","POINT (-94.478164 41.328528)"
"19001_2001_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$211,414","Thousands of dollars","12/31/2001","POINT (-94.478164 41.328528)"
"19001_2001_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$25,998","Dollars","12/31/2001","POINT (-94.478164 41.328528)"
"19001_2002_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$218,311","Thousands of dollars","12/31/2002","POINT (-94.478164 41.328528)"
"19001_2002_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$27,089","Dollars","12/31/2002","POINT (-94.478164 41.328528)"
"19001_2003_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$215,116","Thousands of dollars","12/31/2003","POINT (-94.478164 41.328528)"
"19001_2003_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$26,722","Dollars","12/31/2003","POINT (-94.478164 41.328528)"
"19001_2004_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$247,285","Thousands of dollars","12/31/2004","POINT (-94.478164 41.328528)"
"19001_2004_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$30,837","Dollars","12/31/2004","POINT (-94.478164 41.328528)"
"19001_2005_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$227,720","Thousands of dollars","12/31/2005","POINT (-94.478164 41.328528)"
"19001_2005_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$28,709","Dollars","12/31/2005","POINT (-94.478164 41.328528)"
"19001_2006_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$236,216","Thousands of dollars","12/31/2006","POINT (-94.478164 41.328528)"
"19001_2006_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$29,810","Dollars","12/31/2006","POINT (-94.478164 41.328528)"
"19001_2007_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$250,452","Thousands of dollars","12/31/2007","POINT (-94.478164 41.328528)"
"19001_2007_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$31,820","Dollars","12/31/2007","POINT (-94.478164 41.328528)"
"19001_2008_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$290,010","Thousands of dollars","12/31/2008","POINT (-94.478164 41.328528)"
"19001_2008_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$37,435","Dollars","12/31/2008","POINT (-94.478164 41.328528)"
"19001_2009_CAINC1-1_annual","19001","Adair","CAINC1-1","Personal income","$273,172","Thousands of dollars","12/31/2009","POINT (-94.478164 41.328528)"
"19001_2009_CAINC1-3_annual","19001","Adair","CAINC1-3","Per capita personal income","$35,588","Dollars","12/31/2009","POINT (-94.478164 41.328528)"
