"","County","Year","Population","Personal_Income","Personal_Income_Per_Capita","Total_Revenue","Revenue_Percent_Property_Tax","Revenue_Percent_Grant","Revenue_Percent_Activities","Revenue_Percent_Other","Total_Budget","Budgeted_Public_Safety_Percent","Budgeted_Mental_Health_Percent","Budgeted_Roads_Transportation_Percent","Budgeted_Administration_Percent","Budgeted_Debt_Percent","Budgeted_Physical_Health_Percent","Budgeted_Environment_Education_Percent","Budgeted_Services_to_Residents_Percent","Budgeted_Refunded_Programs_Percent","Budgeted_Projects_Percent","Budgeted_Transfers_Out_Percent","Budgeted_Refunded_Debt_Percent","Total_Expenditure","Actual_Public_Safety_Percent","Actual_Mental_Health_Percent","Actual_Roads_Transportation_Percent","Actual_Administration_Percent","Actual_Debt_Percent","Actual_Physical_Health_Percent","Actual_Environment_Education_Percent","Actual_Services_to_Residents_Percent","Actual_Refunded_Programs_Percent","Actual_Projects_Percent","Actual_Transfers_Out_Percent","Actual_Refunded_Debt_Percent"
"1","STORY",2011,91136,3220461000,35307,41848391,0.4807,0.3508,0.05,0.1185,42197670,0.222889415458247,0.20667906545551,0.120634622717321,0.108845843858204,0.0455874222439296,0.0510009438909779,0.0581745153227654,0.0281225716964941,0,0.108892268222392,0.0491733311341598,0,44444364,0.207557183178502,0.241988342998901,0.115542839132539,0.0974013937965228,0.0432570482952574,0.0539280751098159,0.0585260484321477,0.0249142725948334,0,0.110197211956954,0.046687584504528,0
"2","CLAYTON",2012,17946,749712000,41942,18763194,0.3717,0.3353,0.0376,0.2554,18046343,0.141964884519817,0.117948605986265,0.353499431990182,0.0716541295929042,0.01406401285845,0.0389330957524192,0.0688451948408606,0.0368927931825301,7.20367555908696e-05,0.0785477700385059,0.0775780444824749,0,17484011,0.145229375570629,0.126634900881726,0.31873704494924,0.0789326888435383,0.0155182926846706,0.0451978667823991,0.0691787485148574,0.0349310578676712,0.000125714860280058,0.0854411496309399,0.0800731594140498,0
"3","JOHNSON",2021,155047,9445679000,60934,156611011,0.4018,0.2845,0.0444,0.2693,143955068,0.19896911861415,0.0444693478940248,0.0748516266200506,0.0778576201290808,0.142115573173151,0.0990515248827502,0.0447865301970473,0.0232641132162155,0.00115105360514296,0.166133789746117,0.127349701922269,0,135065826,0.191341487076087,0.0521125232669883,0.0757460588143147,0.0696386367932922,0.151473652558124,0.0920644427110674,0.0472817084019462,0.0238084798741023,0.000317970883323218,0.160019426379549,0.136195613241206,0
"4","JEFFERSON",2018,18256,718349000,45057,13344442,0.4503,0.3247,0.0536,0.1714,13907124,0.234552665238334,0.0414848533744288,0.306749260307163,0.0943015967931256,0.0281860577355893,0.0627843686444444,0.0537009664974584,0.0404804041439481,0.000359527965667093,0.0645712226338098,0.072829076666031,0,13666128,0.241779310130858,0.035315196813611,0.322151965794554,0.0925046216455751,0.0286830329702751,0.0599796811503595,0.057061590525129,0.0411621345855973,0,0.0272560011145805,0.0941064652694604,0
"5","LINN",2016,222188,11005564000,49173,136204540,0.4359,0.238,0.0711,0.255,123840414,0.210297617383611,0.126604833540043,0.105051473745881,0.115342678037236,0.0156081761806772,0.118322488812093,0.0580423770224153,0.0354894323915939,0,0.0640485584939986,0.151192364392451,0,131471421,0.19834586712195,0.103841077369963,0.0983910792293026,0.106587058186585,0.0147022218615862,0.112704113846917,0.0550354361804608,0.0311418479305856,0,0.108279973637769,0.17097132463488,0
"6","POLK",2014,460898,21821919000,47377,256930217,0.514,0.184,0.0676,0.2344,236455670,0.275581647079979,0.119762177832318,0.0422673433882977,0.129240910146075,0.0644103311204168,0.147960854565255,0.0505163737456581,0.0303304843567507,0,0.0836170982916164,0.0563127794736324,0,238026208,0.282487267116401,0.103498468538389,0.0431490594514701,0.122485033244743,0.0765948050560886,0.136943680588316,0.0468783210628638,0.029559992822303,0,0.104099877102609,0.0543034950168176,0
"7","CEDAR",2011,18358,817571000,44520,17511173,0.3551,0.3969,0.0722,0.1758,20481898,0.148760529907922,0.129989076207683,0.238329475129697,0.0729357210938166,0,0.0682761919818173,0.157249831045931,0.0260559348552561,0.000232888573119542,0.0660095075173209,0.0921608436874356,0,16800646,0.170478028047255,0.130882586300551,0.288821632215809,0.0768266291665213,0,0.07415667230891,0.0899525530149257,0.0265527885058705,0.000911095918573607,0.0281443344499967,0.113273680071588,0
"8","GUTHRIE",2016,10642,516550000,48782,19198357,0.2225,0.346,0.0327,0.3988,15744173,0.0955832992942849,0.0197246308205582,0.296534660791647,0.0656637220640297,0.0177102982798779,0.0928232940529807,0.0887309228626997,0.0274149680646929,0.00127031124467446,0.187053330778314,0.107490561746241,0,17538466,0.0940431734451576,0.0123434398424583,0.26120659583341,0.0514425263874275,0.017194833345174,0.0764113007374761,0.0645042730647025,0.0252457084901268,0.000851898906095892,0.300970905893366,0.0957853440546055,0
"9","OSCEOLA",2017,6021,299557000,48551,10749940,0.3631,0.3128,0.0412,0.2829,9915661,0.146362405895079,0.0206970569082586,0.351440514152309,0.0941276632995017,0.0466154500441272,0.0247276505318203,0.0845478682661701,0.0275612488163926,0.0242620234798265,0.0146233317173711,0.165034786889144,0,9821536,0.151977043102016,0.0208474519667799,0.354500864223274,0.0919322598827719,0.0471011866168387,0.0216867300593308,0.060056288547942,0.0277008606393134,0.00894656395903859,0.00953262300316366,0.205718127999531,0
"10","CHICKASAW",2019,11933,654676000,54226,15665384,0.362,0.3456,0.0766,0.2158,16500425,0.134193210174889,0.0365042718596642,0.341872769943804,0.100743041467114,0,0.0932522647143937,0.0437587516685176,0.0295447541502719,0,0.0882373635830592,0.131893572438286,0,16095158,0.135580899547553,0.0333749441912903,0.3972197725552,0.0918191048512851,0,0.0865217352945526,0.0418504124035315,0.0254714492395788,0,0.0812972447987152,0.106864437118294,0
