"","County","Year","Personal_Income","Personal_Income_Per_Capita"
"1","Adair",2000,210176000,25560
"2","Adair",2001,211414000,25998
"3","Adair",2002,218311000,27089
"4","Adair",2003,215116000,26722
"5","Adair",2004,247285000,30837
"6","Adair",2005,227720000,28709
"7","Adair",2006,236216000,29810
"8","Adair",2007,250452000,31820
"9","Adair",2008,290010000,37435
"10","Adair",2009,273172000,35588
"11","Adair",2010,269269000,35015
"12","Adair",2011,305853000,40249
"13","Adair",2012,308847000,40842
"14","Adair",2013,323696000,43033
"15","Adair",2014,326700000,43300
"16","Adair",2015,333921000,45382
"17","Adair",2016,321714000,44319
"18","Adair",2017,341340000,46485
"19","Adair",2018,364228000,49454
"20","Adair",2019,369640000,49391
"21","Adair",2020,401259000,53544
"22","Adair",2021,488333000,64783
"23","Adair",2022,507103000,67668
"24","Adams",2000,119680000,26738
"25","Adams",2001,113592000,25805
"26","Adams",2002,118509000,27119
"27","Adams",2003,112878000,25860
"28","Adams",2004,134258000,31172
"29","Adams",2005,123386000,29197
"30","Adams",2006,116672000,27621
"31","Adams",2007,127307000,30347
"32","Adams",2008,153209000,36909
"33","Adams",2009,148873000,36786
"34","Adams",2010,149857000,37222
"35","Adams",2011,188544000,47030
"36","Adams",2012,186988000,47507
"37","Adams",2013,217383000,55342
"38","Adams",2014,223511000,56975
"39","Adams",2015,243037000,63773
"40","Adams",2016,220764000,58729
"41","Adams",2017,210848000,56452
"42","Adams",2018,210662000,56660
"43","Adams",2019,202471000,54678
"44","Adams",2020,194366000,52390
"45","Adams",2021,234343000,64345
"46","Adams",2022,244311000,67657
"47","Allamakee",2000,330190000,22502
"48","Allamakee",2001,338996000,23651
"49","Allamakee",2002,348114000,24362
"50","Allamakee",2003,355247000,24765
"51","Allamakee",2004,383189000,26752
"52","Allamakee",2005,398089000,27701
"53","Allamakee",2006,413647000,28769
"54","Allamakee",2007,437232000,30501
"55","Allamakee",2008,460818000,32169
"56","Allamakee",2009,450250000,31568
"57","Allamakee",2010,496506000,34508
"58","Allamakee",2011,539268000,37769
"59","Allamakee",2012,545641000,38296
"60","Allamakee",2013,572507000,40275
"61","Allamakee",2014,589452000,41362
"62","Allamakee",2015,583744000,41386
"63","Allamakee",2016,590379000,41832
"64","Allamakee",2017,611775000,43324
"65","Allamakee",2018,638226000,44993
"66","Allamakee",2019,650953000,46292
"67","Allamakee",2020,684221000,48637
"68","Allamakee",2021,747795000,53536
"69","Allamakee",2022,768013000,55015
"70","Appanoose",2000,287090000,20962
"71","Appanoose",2001,287728000,21191
"72","Appanoose",2002,297954000,22202
"73","Appanoose",2003,305545000,22596
"74","Appanoose",2004,328452000,24398
"75","Appanoose",2005,326593000,24277
"76","Appanoose",2006,342301000,25700
"77","Appanoose",2007,346942000,26474
"78","Appanoose",2008,376091000,29042
"79","Appanoose",2009,382714000,29677
"80","Appanoose",2010,383113000,29798
"81","Appanoose",2011,400452000,31200
"82","Appanoose",2012,407597000,32140
"83","Appanoose",2013,409096000,32434
"84","Appanoose",2014,414421000,32844
"85","Appanoose",2015,430721000,34419
"86","Appanoose",2016,438863000,35310
"87","Appanoose",2017,460282000,37519
"88","Appanoose",2018,475021000,38454
"89","Appanoose",2019,485141000,39137
"90","Appanoose",2020,525619000,42785
"91","Appanoose",2021,576515000,47001
"92","Appanoose",2022,577838000,47779
"93","Audubon",2000,171210000,25163
"94","Audubon",2001,169030000,25365
"95","Audubon",2002,174704000,26583
"96","Audubon",2003,173067000,26712
"97","Audubon",2004,212169000,32997
"98","Audubon",2005,204566000,32348
"99","Audubon",2006,209597000,33455
"100","Audubon",2007,223555000,35930
"101","Audubon",2008,248366000,40059
"102","Audubon",2009,226760000,36956
"103","Audubon",2010,240151000,39375
"104","Audubon",2011,289954000,48125
"105","Audubon",2012,262352000,44421
"106","Audubon",2013,276973000,46754
"107","Audubon",2014,256080000,43767
"108","Audubon",2015,250759000,43167
"109","Audubon",2016,243437000,42374
"110","Audubon",2017,254835000,44810
"111","Audubon",2018,274949000,48776
"112","Audubon",2019,280003000,49427
"113","Audubon",2020,291378000,51290
"114","Audubon",2021,365739000,64561
"115","Audubon",2022,386851000,69105
"116","Benton",2000,677817000,26764
"117","Benton",2001,697877000,27333
"118","Benton",2002,710146000,27494
"119","Benton",2003,710535000,27385
"120","Benton",2004,777323000,29690
"121","Benton",2005,787482000,29982
"122","Benton",2006,827185000,31648
"123","Benton",2007,912818000,35019
"124","Benton",2008,1003604000,38457
"125","Benton",2009,1010155000,38678
"126","Benton",2010,1050685000,40329
"127","Benton",2011,1114199000,42696
"128","Benton",2012,1143304000,44213
"129","Benton",2013,1177077000,45726
"130","Benton",2014,1206431000,46985
"131","Benton",2015,1241796000,48358
"132","Benton",2016,1251525000,48663
"133","Benton",2017,1293889000,50250
"134","Benton",2018,1332819000,51948
"135","Benton",2019,1374289000,53541
"136","Benton",2020,1422891000,55725
"137","Benton",2021,1630582000,63400
"138","Benton",2022,1785113000,69430
"139","Black Hawk",2000,3195184000,24959
"140","Black Hawk",2001,3266086000,25563
"141","Black Hawk",2002,3409093000,26869
"142","Black Hawk",2003,3476949000,27488
"143","Black Hawk",2004,3690791000,29134
"144","Black Hawk",2005,3793770000,29867
"145","Black Hawk",2006,4007913000,31438
"146","Black Hawk",2007,4218938000,33023
"147","Black Hawk",2008,4470088000,34597
"148","Black Hawk",2009,4492239000,34398
"149","Black Hawk",2010,4581776000,34930
"150","Black Hawk",2011,4885140000,37112
"151","Black Hawk",2012,5093312000,38597
"152","Black Hawk",2013,5097542000,38312
"153","Black Hawk",2014,5287881000,39595
"154","Black Hawk",2015,5393553000,40278
"155","Black Hawk",2016,5397651000,40489
"156","Black Hawk",2017,5531612000,41757
"157","Black Hawk",2018,5878409000,44537
"158","Black Hawk",2019,5924028000,45107
"159","Black Hawk",2020,6453677000,49252
"160","Black Hawk",2021,6847762000,52431
"161","Black Hawk",2022,6965825000,53471
"162","Boone",2000,732931000,27920
"163","Boone",2001,751079000,28614
"164","Boone",2002,785840000,30125
"165","Boone",2003,815907000,31103
"166","Boone",2004,868685000,32940
"167","Boone",2005,873369000,32957
"168","Boone",2006,943139000,35629
"169","Boone",2007,986889000,37167
"170","Boone",2008,1016982000,38443
"171","Boone",2009,1036875000,39335
"172","Boone",2010,1031657000,39253
"173","Boone",2011,1114482000,42313
"174","Boone",2012,1130719000,43106
"175","Boone",2013,1180438000,44663
"176","Boone",2014,1186304000,44798
"177","Boone",2015,1190879000,44621
"178","Boone",2016,1184154000,44355
"179","Boone",2017,1193847000,44540
"180","Boone",2018,1237452000,46341
"181","Boone",2019,1265590000,47354
"182","Boone",2020,1325357000,49639
"183","Boone",2021,1433049000,53520
"184","Boone",2022,1438527000,54062
"185","Bremer",2000,610142000,26173
"186","Bremer",2001,632882000,26924
"187","Bremer",2002,645678000,27610
"188","Bremer",2003,645314000,27403
"189","Bremer",2004,728563000,30705
"190","Bremer",2005,752240000,31563
"191","Bremer",2006,787813000,32752
"192","Bremer",2007,848543000,35010
"193","Bremer",2008,894467000,37020
"194","Bremer",2009,886992000,36678
"195","Bremer",2010,933156000,38419
"196","Bremer",2011,1012228000,41578
"197","Bremer",2012,1056906000,43263
"198","Bremer",2013,1051358000,42939
"199","Bremer",2014,1064822000,43379
"200","Bremer",2015,1093269000,44453
"201","Bremer",2016,1108183000,45043
"202","Bremer",2017,1150090000,46681
"203","Bremer",2018,1203641000,48601
"204","Bremer",2019,1239833000,49833
"205","Bremer",2020,1321464000,52852
"206","Bremer",2021,1447881000,57634
"207","Bremer",2022,1503963000,59542
"208","Buchanan",2000,505504000,23998
"209","Buchanan",2001,523311000,24977
"210","Buchanan",2002,525333000,25261
"211","Buchanan",2003,532118000,25556
"212","Buchanan",2004,584703000,27963
"213","Buchanan",2005,607847000,29180
"214","Buchanan",2006,637481000,30419
"215","Buchanan",2007,693808000,32930
"216","Buchanan",2008,727089000,34371
"217","Buchanan",2009,748676000,35624
"218","Buchanan",2010,777566000,37101
"219","Buchanan",2011,870452000,41794
"220","Buchanan",2012,872173000,41843
"221","Buchanan",2013,915844000,44010
"222","Buchanan",2014,904125000,43365
"223","Buchanan",2015,922008000,44419
"224","Buchanan",2016,918502000,44624
"225","Buchanan",2017,953931000,46202
"226","Buchanan",2018,998516000,48500
"227","Buchanan",2019,1003558000,48883
"228","Buchanan",2020,1050017000,50957
"229","Buchanan",2021,1192733000,57628
"230","Buchanan",2022,1244022000,60057
"231","Buena Vista",2000,504239000,24765
"232","Buena Vista",2001,519770000,25679
"233","Buena Vista",2002,527124000,26053
"234","Buena Vista",2003,519199000,25778
"235","Buena Vista",2004,574463000,28723
"236","Buena Vista",2005,568868000,28486
"237","Buena Vista",2006,586667000,29467
"238","Buena Vista",2007,637337000,32192
"239","Buena Vista",2008,723542000,36441
"240","Buena Vista",2009,693629000,34675
"241","Buena Vista",2010,756957000,37140
"242","Buena Vista",2011,851608000,41676
"243","Buena Vista",2012,896637000,43137
"244","Buena Vista",2013,909300000,43341
"245","Buena Vista",2014,908882000,43196
"246","Buena Vista",2015,903032000,43201
"247","Buena Vista",2016,795160000,37941
"248","Buena Vista",2017,838631000,40160
"249","Buena Vista",2018,887749000,43049
"250","Buena Vista",2019,862130000,41849
"251","Buena Vista",2020,921706000,44294
"252","Buena Vista",2021,1023166000,49269
"253","Buena Vista",2022,1119428000,54341
"254","Butler",2000,368335000,24076
"255","Butler",2001,382647000,25400
"256","Butler",2002,386648000,25904
"257","Butler",2003,383384000,25663
"258","Butler",2004,453592000,30270
"259","Butler",2005,458712000,30652
"260","Butler",2006,471142000,31555
"261","Butler",2007,521195000,34837
"262","Butler",2008,532258000,35586
"263","Butler",2009,531105000,36132
"264","Butler",2010,565455000,37912
"265","Butler",2011,654100000,43712
"266","Butler",2012,634467000,42385
"267","Butler",2013,639393000,42714
"268","Butler",2014,604573000,40434
"269","Butler",2015,608096000,40886
"270","Butler",2016,607645000,41379
"271","Butler",2017,625815000,42914
"272","Butler",2018,658534000,45400
"273","Butler",2019,664731000,46191
"274","Butler",2020,693994000,48423
"275","Butler",2021,823384000,57331
"276","Butler",2022,857359000,60085
"277","Calhoun",2000,259754000,23427
"278","Calhoun",2001,266895000,24445
"279","Calhoun",2002,271449000,25409
"280","Calhoun",2003,277244000,26434
"281","Calhoun",2004,319952000,30818
